X,Y,Z
59,23,17
59,24,118
59,24,117
59,24,116
59,24,115
59,24,114
59,24,105
59,24,104
59,24,103
59,24,102
59,24,93
59,24,92
59,24,91
59,24,90
59,24,81
59,24,80
59,24,79
59,24,78
59,24,69
59,24,68
59,24,67
59,24,66
59,24,57
59,24,56
59,24,55
59,24,54
59,24,53
59,24,45
59,24,44
59,24,43
59,24,42
59,24,41
59,24,32
59,24,31
59,24,30
59,24,29
59,24,20
59,24,19
59,24,18
59,24,17
59,25,118
59,25,117
59,25,116
59,25,115
59,25,114
59,25,106
59,25,105
59,25,104
59,25,103
59,25,102
59,25,93
59,25,92
59,25,91
59,25,90
59,25,81
59,25,80
59,25,79
59,25,78
59,25,69
59,25,68
59,25,67
59,25,66
59,25,65
59,25,57
59,25,56
59,25,55
59,25,54
59,25,53
59,25,45
59,25,44
59,25,43
59,25,42
59,25,41
59,25,33
59,25,32
59,25,31
59,25,30
59,25,29
59,25,20
59,25,19
59,25,18
59,25,17
59,26,118
59,26,117
59,26,116
59,26,115
59,26,114
59,26,106
59,26,105
59,26,104
59,26,103
59,26,102
59,26,94
59,26,93
59,26,92
59,26,91
59,26,90
59,26,81
59,26,80
59,26,79
59,26,78
59,26,69
59,26,68
59,26,67
59,26,66
59,26,65
59,26,57
59,26,56
59,26,55
59,26,54
59,26,53
59,26,45
59,26,44
59,26,43
59,26,42
59,26,41
59,26,33
59,26,32
59,26,31
59,26,30
59,26,29
59,26,21
59,26,20
59,26,19
59,26,18
59,26,17
59,27,118
59,27,117
59,27,116
59,27,115
59,27,114
59,27,106
59,27,105
59,27,104
59,27,103
59,27,102
59,27,94
59,27,93
59,27,92
59,27,91
59,27,90
59,27,82
59,27,81
59,27,80
59,27,79
59,27,78
59,27,77
59,27,69
59,27,68
59,27,67
59,27,66
59,27,65
59,27,57
59,27,56
59,27,55
59,27,54
59,27,53
59,27,45
59,27,44
59,27,43
59,27,42
59,27,41
59,27,33
59,27,32
59,27,31
59,27,30
59,27,29
59,27,21
59,27,20
59,27,19
59,27,18
59,27,17
59,28,118
59,28,117
59,28,116
59,28,115
59,28,114
59,28,106
59,28,105
59,28,104
59,28,103
59,28,102
59,28,94
59,28,93
59,28,92
59,28,91
59,28,90
59,28,82
59,28,81
59,28,80
59,28,79
59,28,78
59,28,77
59,28,70
59,28,69
59,28,68
59,28,67
59,28,66
59,28,65
59,28,57
59,28,56
59,28,55
59,28,54
59,28,53
59,28,45
59,28,44
59,28,43
59,28,42
59,28,41
59,28,33
59,28,32
59,28,31
59,28,30
59,28,29
59,28,21
59,28,20
59,28,19
59,28,18
59,28,17
59,28,9
59,29,118
59,29,117
59,29,116
59,29,115
59,29,114
59,29,106
59,29,105
59,29,104
59,29,103
59,29,102
59,29,94
59,29,93
59,29,92
59,29,91
59,29,90
59,29,82
59,29,81
59,29,80
59,29,79
59,29,78
59,29,77
59,29,70
59,29,69
59,29,68
59,29,67
59,29,66
59,29,65
59,29,58
59,29,57
59,29,56
59,29,55
59,29,54
59,29,53
59,29,45
59,29,44
59,29,43
59,29,42
59,29,41
59,29,33
59,29,32
59,29,31
59,29,30
59,29,29
59,29,21
59,29,20
59,29,19
59,29,18
59,29,17
59,30,119
59,30,118
59,30,117
59,30,116
59,30,115
59,30,114
59,30,106
59,30,105
59,30,104
59,30,103
59,30,102
59,30,94
59,30,93
59,30,92
59,30,91
59,30,90
59,30,82
59,30,81
59,30,80
59,30,79
59,30,78
59,30,77
59,30,70
59,30,69
59,30,68
59,30,67
59,30,66
59,30,65
59,30,58
59,30,57
59,30,56
59,30,55
59,30,54
59,30,53
59,30,46
59,30,45
59,30,44
59,30,43
59,30,42
59,30,41
59,30,33
59,30,32
59,30,31
59,30,30
59,30,29
59,30,21
59,30,20
59,30,19
59,30,18
59,30,17
59,30,9
59,31,119
59,31,118
59,31,117
59,31,116
59,31,115
59,31,114
59,31,106
59,31,105
59,31,104
59,31,103
59,31,102
59,31,94
59,31,93
59,31,92
59,31,91
59,31,90
59,31,82
59,31,81
59,31,80
59,31,79
59,31,78
59,31,70
59,31,69
59,31,68
59,31,67
59,31,66
59,31,65
59,31,58
59,31,57
59,31,56
59,31,55
59,31,54
59,31,53
59,31,46
59,31,45
59,31,44
59,31,43
59,31,42
59,31,41
59,31,33
59,31,32
59,31,31
59,31,30
59,31,29
59,31,21
59,31,20
59,31,19
59,31,18
59,31,17
59,31,9
59,32,119
59,32,118
59,32,117
59,32,116
59,32,115
59,32,114
59,32,107
59,32,106
59,32,105
59,32,104
